name,freq,gender
IMELDA,0.010,female
MARIETTA,0.010,female
MARCI,0.010,female
LEONOR,0.010,female
ARLINE,0.010,female
SASHA,0.010,female
MADELYN,0.010,female
JANNA,0.010,female
JULIETTE,0.010,female
DEENA,0.010,female
AURELIA,0.010,female
JOSEFA,0.010,female
AUGUSTA,0.010,female
LILIANA,0.010,female
YOUNG,0.010,female
CHRISTIAN,0.010,female
LESSIE,0.010,female
AMALIA,0.010,female
SAVANNAH,0.010,female
ANASTASIA,0.010,female
VILMA,0.010,female
NATALIA,0.010,female
ROSELLA,0.010,female
LYNNETTE,0.010,female
CORINA,0.010,female
ALFREDA,0.009,female
LEANNA,0.009,female
CAREY,0.009,female
AMPARO,0.009,female
COLEEN,0.009,female
TAMRA,0.009,female
AISHA,0.009,female
WILDA,0.009,female
KARYN,0.009,female
CHERRY,0.009,female
QUEEN,0.009,female
MAURA,0.009,female
MAI,0.009,female
EVANGELINA,0.009,female
ROSANNA,0.009,female
HALLIE,0.009,female
ERNA,0.009,female
ENID,0.009,female
MARIANA,0.009,female
LACY,0.009,female
JULIET,0.009,female
JACKLYN,0.009,female
FREIDA,0.009,female
MADELEINE,0.009,female
MARA,0.009,female
HESTER,0.009,female
CATHRYN,0.009,female
LELIA,0.009,female
CASANDRA,0.009,female
BRIDGETT,0.009,female
ANGELITA,0.009,female
JANNIE,0.009,female
DIONNE,0.009,female
ANNMARIE,0.009,female
KATINA,0.009,female
BERYL,0.009,female
PHOEBE,0.009,female
MILLICENT,0.009,female
KATHERYN,0.009,female
DIANN,0.009,female
CARISSA,0.009,female
MARYELLEN,0.009,female
LIZ,0.009,female
LAURI,0.009,female
HELGA,0.009,female
GILDA,0.009,female
ADRIAN,0.009,female
RHEA,0.009,female
MARQUITA,0.009,female
HOLLIE,0.009,female
TISHA,0.009,female
TAMERA,0.009,female
ANGELIQUE,0.009,female
FRANCESCA,0.009,female
BRITNEY,0.009,female
KAITLIN,0.009,female
LOLITA,0.009,female
FLORINE,0.009,female
ROWENA,0.009,female
REYNA,0.009,female
TWILA,0.009,female
FANNY,0.009,female
JANELL,0.009,female
INES,0.009,female
CONCETTA,0.009,female
BERTIE,0.009,female
ALBA,0.009,female
BRIGITTE,0.009,female
ALYSON,0.009,female
VONDA,0.008,female
PANSY,0.008,female
ELBA,0.008,female
NOELLE,0.008,female
LETITIA,0.008,female
KITTY,0.008,female
DEANN,0.008,female
BRANDIE,0.008,female
LOUELLA,0.008,female
LETA,0.008,female
FELECIA,0.008,female
SHARLENE,0.008,female
LESA,0.008,female
BEVERLEY,0.008,female
ROBERT,0.008,female
ISABELLA,0.008,female
HERMINIA,0.008,female
TERRA,0.008,female
CELINA,0.008,female
TORI,0.008,female
OCTAVIA,0.008,female
JADE,0.008,female
DENICE,0.008,female
GERMAINE,0.008,female
SIERRA,0.008,female
MICHELL,0.008,female
CORTNEY,0.008,female
NELLY,0.008,female
DORETHA,0.008,female
SYDNEY,0.008,female
DEIDRA,0.008,female
MONIKA,0.008,female
LASHONDA,0.008,female
JUDI,0.008,female
CHELSEY,0.008,female
ANTIONETTE,0.008,female
MARGOT,0.008,female
BOBBY,0.008,female
ADELAIDE,0.008,female
NAN,0.008,female
LEEANN,0.008,female
ELISHA,0.008,female
